Page,Section,Field,EN,ZH,ZH-TW,Source,Notes
News,Hero,line1,Fresh from the field.,一线快讯。,一線快訊。,translation-table.csv,Rows 19 and 28
News,Home news,viewAll,View all,查看全部,查看全部,translation-table.csv,Row 20
News,News page,sectionTitleLine1,The latest from,最新资讯来自,最新資訊來自,translation-table.csv,Row 21
News,News page,sectionTitleAccent,Basicware,Basicware,Basicware,translation-table.csv,Row 22
News,News page,sectionEyebrow,News & Press Release,新闻与新闻稿,新聞與新聞稿,translation-table.csv,Row 23
News,News page,sectionBody,"Updates, partnerships, and field notes from Basicware's work across AI, cloud, and enterprise transformation.",汇集 Basicware 在 AI、云和企业转型领域的最新动态、合作进展与一线观察。,匯集 Basicware 在 AI、雲和企業轉型領域的最新動態、合作進展與一線觀察。,translation-table.csv,Row 24
News,Press release labels,officialHeading,Official release,官方新闻稿,官方新聞稿,translation-table.csv,Row 25
Footer,Tagline,taglineAccent,Infinite,无限可能,無限可能,agent-translated,Locale-aware accent substring replacing English split
Contact,Email card,reachUsAt,Reach us at,联系我们,聯繫我們,existing-inline,Moved inline locale string to messages
Product detail,Section labels,chrome,The Problem / How it works / What's included / Who it's for / Ready to get started? / Talk to our team about the right solution for you. / Frequently asked,问题所在 / 运作方式 / 核心功能 / 适合哪些人 / 准备好开始了吗？ / 联系我们，了解适合您团队的方案。 / 常见问题,問題所在 / 運作方式 / 核心功能 / 適合哪些人 / 準備好開始了嗎？ / 聯繫我們，了解適合您團隊的方案。 / 常見問題,existing-inline,Moved inline section labels to messages
BasicRouter,Final CTA,finalCta,Talk to our team,联系我们,聯繫我們,existing-inline,Moved inline locale string to messages
News article,Share button,share states,Share / Copied / Link copied,分享 / 已复制 / 链接已复制,分享 / 已複製 / 連結已複製,agent-translated,Localized visible button text and aria label
News,Pagination,aria labels,Previous page / Next page / Page {page},上一页 / 下一页 / 第 {page} 页,上一頁 / 下一頁 / 第 {page} 頁,agent-translated,Localized aria labels
About,Values,title + subtitle,What drives us / Five principles that shape how we work with every client in every market.,什么驱动着我们 / 五项原则，指引我们在每个市场、与每位客户的合作方式。,什麼驅動著我們 / 五項原則，指引我們在每個市場、與每位客戶的合作方式。,translation-table.csv,Simplified script fixed in zh.json
Solutions listing,UI chrome,headings and CTAs,Five ways we help / Learn more → / The results speak / Let's find your fastest path to AI growth,五种方式助您增长 / 了解更多 → / 成果不言而喻 / 让我们找到您最快的 AI 增长路径,五種方式助您增長 / 了解更多 → / 成果不言而喻 / 讓我們找到您最快的 AI 增長路徑,agent-translated,Added solutionsPage namespace
Solutions listing,Token,title + descriptions,Centralized Token Control / One gateway to the world's top AI models. Connect once switch freely scale without limits. / Aggregates mainstream domestic and overseas large language models with enterprise-grade security cost analytics and multi-cloud billing.,集中式 Token 管理 / 一个网关连接全球顶尖 AI 模型。一次接入，自由切换，无限扩展。 / 一站式聚合 GPT、Gemini、豆包、通义、Claude、DeepSeek 等国内外主流大语言模型，提供企业级安全、实时成本分析与灵活的多云计费方案。,集中式 Token 管理 / 一個閘道連接全球頂尖 AI 模型。一次接入，自由切換，無限擴展。 / 一站式聚合 GPT、Gemini、豆包、通義、Claude、DeepSeek 等海內外主流大語言模型，提供企業級安全、實時成本分析與靈活的多雲計費方案。,agent-translated,Listing copy differs from product detail copy
Solutions listing,Token,bullets + quote,"What you get: one API; cost reduction and efficiency; unified billing; enterprise-grade security; direct cloud-provider supply. Quote from Anya Sharma.",您将获得：一个 API 即时接入；降本增效；统一账单与实时成本监控；企业级安全；云厂商直供。客户引言已本地化。,您將獲得：一個 API 即時接入；降本增效；統一賬單與實時成本監控；企業級安全；雲廠商直供。客戶引言已本地化。,agent-translated,Full text stored in messages/*.json
Solutions listing,AI Digital Employees,all listing copy,"AI Digital Employees: short description, long description, OpenClaw quote, roles available, read-more CTA.",AI 数字员工：短介绍、长介绍、OpenClaw 客户引言、可覆盖角色、了解更多 CTA。,AI 數字員工：短介紹、長介紹、OpenClaw 客戶引言、可覆蓋角色、了解更多 CTA。,agent-translated,Full text stored in messages/*.json
Solutions listing,AI Content & Growth,all listing copy,"AI Content & Growth: short description, long description, TikTok growth quote, deliverables, read-more CTA.",AI 内容与增长：短介绍、长介绍、TikTok 增长客户引言、交付内容、了解更多 CTA。,AI 內容與增長：短介紹、長介紹、TikTok 增長客戶引言、交付內容、了解更多 CTA。,agent-translated,Full text stored in messages/*.json
Solutions listing,AI Education,all listing copy,"AI Education: short description, long description, certification quote, included items, read-more CTA.",AI 教育：短介绍、长介绍、认证客户引言、包含内容、了解更多 CTA。,AI 教育：短介紹、長介紹、認證客戶引言、包含內容、了解更多 CTA。,agent-translated,Full text stored in messages/*.json
Solutions listing,Multi-Cloud,all listing copy,"Multi-Cloud Computing Platform: short description, long description, core advantages, get-in-touch CTA.",多云计算平台：短介绍、长介绍、核心优势、联系我们 CTA。,多雲計算平台：短介紹、長介紹、核心優勢、聯繫我們 CTA。,agent-translated,Full text stored in messages/*.json
Solutions listing,Results,stat labels,audience growth for a hospitality brand / in new revenue for a gaming company / increased operational efficiency across industries,酒店品牌受众增长 / 游戏公司新增营收 / 跨行业运营效率提升,酒店品牌受眾增長 / 遊戲公司新增營收 / 跨行業運營效率提升,agent-translated,Numbers and prefixes preserved
Success story detail,Section labels,headings,The Challenge / The Solution / Key Results,挑战 / 解决方案 / 关键成果,挑戰 / 解決方案 / 關鍵成果,existing-inline,Moved existing inline section headings to messages
Success story detail,Metrics,labels,Audience growth / New followers / Less production time,受众增长 / 新增粉丝 / 生产时间减少,受眾增長 / 新增粉絲 / 生產時間減少,agent-translated,Shared template for all six existing case-study detail pages
Success story detail,Challenge,body,"The client was struggling to scale their digital presence in a competitive multi-language market; content team capacity was consumed by low-impact production; tools were siloed across six platforms.",客户希望在竞争激烈的多语言市场中扩大数字影响力，但内容团队的大部分时间都耗在低价值的生产任务上，几乎没有余力投入策略规划。原有工具彼此割裂，需要在六个平台之间手动交接，也导致品牌输出不够一致。,客戶希望在競爭激烈的多語言市場中擴大數字影響力，但內容團隊的大部分時間都耗在低價值的生產任務上，幾乎沒有餘力投入策略規劃。原有工具彼此割裂，需要在六個平台之間手動交接，也導致品牌輸出不夠一致。,agent-translated,Shared template matching current EN behavior
Success story detail,Solution,body,"Basicware deployed a unified AI content and distribution platform tailored to brand voice and market, using a proprietary model blend across 12 languages and 6 platforms with human review.",Basicware 部署了一套统一的 AI 内容与分发平台，并根据客户的品牌语气和目标市场进行定制。我们的专有模型组合可同时处理创意构思、内容生成与渠道优化，覆盖 12 种语言和 6 个平台；同时保留人工审核环节，在不拖慢产出的前提下确保编辑质量。,Basicware 部署了一套統一的 AI 內容與分發平台，並根據客戶的品牌語氣和目標市場進行定制。我們的專有模型組合可同時處理創意構思、內容生成與渠道優化，覆蓋 12 種語言和 6 個平台；同時保留人工審核環節，在不拖慢產出的前提下確保編輯質量。,agent-translated,Shared template matching current EN behavior
Success story detail,Results cards,titles + bodies,"40× audience growth / 63,200 new followers / 85% faster production with supporting result-card body copy.",受众增长 40 倍 / 新增粉丝 63,200 / 内容生产提速 85%，并补齐三张结果卡正文。,受眾增長 40 倍 / 新增粉絲 63,200 / 內容生產提速 85%，並補齊三張結果卡正文。,agent-translated,Full text stored in messages/*.json
