Page,Section,Field,Single,EN,ZH,ZH-TW
Homepage,Brand story,Eyebrow,-,· Brand story ·,· 品牌故事 ·,
Homepage,Brand story,Title,-,AI Business Co-Creation,AI 商业共创,
Homepage,Brand story,Paragraph 1,-,"Basicware AI partners with world-class top AI large model (LLM) developers through commercial research and application, focusing on being an AI business co-creation partner for global clients and building a bridge between clients and business value with an enterprise community mindset.",Basicware AI 通过商业研发与落地应用，携手全球顶尖 AI 大模型 LLM 研发厂商，专注成为全球客户的 AI 商业共创伙伴，以企业共同体思维，搭建客户与商业价值之间的桥梁。,
Homepage,Brand story,Paragraph 2,-,"We focus on AI technology implementation, abandon superficial technical concepts, integrate cutting-edge AI technologies into clients' entire business processes with the world's latest top AI technologies and agile iteration capabilities, solve pain points such as difficult technology landing, weak business transformation and blocked cross-border expansion, and move forward side by side with clients as partners.",我们深耕 AI 技术落地，摒弃虚浮技术概念，以世界最新顶尖 AI 科技与敏捷迭代能力，将前沿 AI 技术融入客户全业务流程，破解技术落地难、商业转化弱、跨国拓展受阻等痛点，与客户以伙伴身份并肩前行。,
Homepage,Brand story,Paragraph 3,-,"The brand adheres to the core propositions of client success, global cutting-edge tech confidence, and global symbiosis. Embracing the world's latest cutting-edge AI technologies and facing the global market, we help enterprises break geographical and industry barriers, optimize business processes and explore growth space. In the future, we will continue to take AI as the bond to jointly build a business ecosystem and expand global markets with global clients, unlocking unlimited corporate potential.",品牌坚守客户成功、全球顶尖科技自信、全球共生的核心主张，拥抱世界最新顶尖 AI 科技，放眼全球市场，助力企业打破地域与行业壁垒，优化业务流程、挖掘增长空间。未来，我们将持续以 AI 为纽带，携手全球客户共建商业生态，共拓全球市场，释放企业无限潜力。,
Homepage,Brand story,Link text,-,Our full story,完整品牌故事,
Homepage,Practice detail cards,Card 1 body,Source: messages/en.json → practice.cards[0].body (AI Commerce),"AI-powered marketing and growth across the full funnel — from content creation and ad placement to conversion optimization. AIGC production, TikTok/Douyin growth services, and data-driven e-commerce operations for brands, merchants, and agencies.",覆盖全漏斗的 AI 营销与增长——从内容创作、广告投放到转化优化。AIGC 内容生产、TikTok/抖音增长服务，以及面向品牌、商家和代理商的数据驱动电商运营。,
Homepage,Practice detail cards,Card 2 body,Source: messages/en.json → practice.cards[1].body (AI Agent),"Deploy intelligent digital employees that don't just chat — they execute. OpenClaw enables one-click deployment of AI agents across customer support, sales, HR, finance, operations, and R&D — with 24/7 multi-channel integration.",部署真正能执行任务的智能数字员工。OpenClaw 支持一键部署 AI 智能体，覆盖客服、销售、HR、财务、运营和研发，7×24 小时多渠道集成。,
Homepage,Practice detail cards,Card 3 body,Source: messages/en.json → practice.cards[2].body (AI Education),"Building the AI talent pipeline for Asia-Pacific. Online and offline certification programs co-developed with ByteDance and Pearson, delivered through government and university partnerships across Hong Kong, Macau, Malaysia, and Southeast Asia.",构建亚太地区的 AI 人才培育体系。与字节跳动和培生联合开发线上线下认证课程，通过香港、澳门、马来西亚及东南亚的政府和高校合作伙伴广泛落地。,
Homepage,Practice detail cards,Card 4 body,Source: messages/en.json → practice.cards[3].body (Centralized Token Control),"One API, every model. BasicRouter unifies access to 10+ global AI foundation models — Qwen, Doubao, DeepSeek, GPT, Gemini, Claude — with enterprise-grade security, real-time cost analytics, and flexible multi-cloud billing.",一个 API，接入所有模型。BasicRouter 统一接入 10+ 全球主流 AI 基础模型——通义、豆包、DeepSeek、GPT、Gemini、Claude——提供企业级安全、实时费用分析与灵活的多云计费方案。,
Homepage,Outcomes carousel,Snippet 2,Source: components/home/SuccessStoriesSection.tsx → CARDS_EN[1] (Kotler Impact),"Kotler Impact has entered into a strategic collaboration with ByteDance and Basicware AI to jointly launch AI FIRST — a transformative global initiative to deliver accessible, practical and high-value AI education to people of all ages, backgrounds and proficiency levels across the globe.",享誉全球的世界营销峰会主办机构 Kotler Impact 集团与 TikTok 母公司字节跳动、Basicware AI 达成战略合作，共同推出全球变革性项目「AI 先行计划（AI FIRST）」，旨在让全球不同年龄、不同背景、不同专业水平的人群都能接触到实用、高价值的人工智能教育。,
Homepage,Outcomes carousel,Snippet 3,Source: components/home/SuccessStoriesSection.tsx → CARDS_EN[2] (Local State-owned Enterprise),"We provide end-to-end services for enterprises to build exclusive AI digital employee avatars for over 50 core staff members. Through full-cycle data monitoring and AI intelligent analytics, we accurately assess employees' adaptability to the AI era, delivering actionable decision-making support for large-scale AI rollouts.",为企业 50 余名核心人员提供专属 AI 数字员工分身搭建的全流程服务。帮助企业员工快速搭建适配自身工作的专属 AI 数字分身，实现全场景工作提效；同时通过全周期数据监测与 AI 智能分析，精准评估企业员工适配 AI 时代的能力，为后续规模化 AI 部署提供可落地的决策依据。,
Homepage,Success stories carousel,Kotler card quote,Source: components/home/SuccessStoriesSection.tsx → CARDS[*].quote,"Kotler Impact has entered into a strategic collaboration with ByteDance and Basicware AI to jointly launch AI FIRST — a transformative global initiative to deliver accessible, practical and high-value AI education to people of all ages, backgrounds and proficiency levels across the globe.",享誉全球的世界营销峰会主办机构 Kotler Impact 集团与 TikTok 母公司字节跳动、Basicware AI 达成战略合作，共同推出全球变革性项目「AI 先行计划（AI FIRST）」，旨在让全球不同年龄、不同背景、不同专业水平的人群都能接触到实用、高价值的人工智能教育。,
Homepage,Success stories carousel,AI FIRST stat value,Source: components/home/SuccessStoriesSection.tsx → CARDS_ZH[1].stats[2].value,AI FIRST,AI 先行计划,
Homepage,Success stories carousel,Global Programme stat label,Source: components/home/SuccessStoriesSection.tsx → CARDS[*][1].stats[2].label,Global Programme,全球项目,
Homepage,Success stories carousel,Countries stat label,Source: components/home/SuccessStoriesSection.tsx → CARDS[*][1].stats[0].label,Countries,覆盖国家/地区,
Homepage,Success stories carousel,Founding Partners stat label,Source: components/home/SuccessStoriesSection.tsx → CARDS[*][1].stats[1].label,Founding Partners,核心创始合作方,
News,News listing page,Entire page,-,Dedicated /news page,-,
News,News hero,line1,-,Fresh from the field.,一线快讯。,
News,Home news,viewAll,-,View all,查看全部,
News,News page,sectionTitleLine1,-,The latest from,最新资讯来自,
News,News page,sectionTitleAccent,-,Basicware,Basicware,
News,News page,sectionEyebrow,-,News & Press Release,新闻与新闻稿,
News,News page,sectionBody,-,"Updates, partnerships, and field notes from Basicware's work across AI, cloud, and enterprise transformation.",汇集 Basicware 在 AI、云和企业转型领域的最新动态、合作进展与一线观察。,
News,Press release labels,officialHeading,-,Official release,官方新闻稿,
News,Press release labels,officialLink,-,View on Hutchison Telecom Hong Kong (English),在和记电讯香港查看官方新闻稿,
News,Article listing,description,"Article excerpt EN: ""HTHK will partner with Basicware AI to roll out a large-model experience campaign, distributing 80 billion AI tokens to new subscribers and 5G contract renewal customers via BasicRouter."",","Updates, partnerships, and field notes from Basicware's work across AI, cloud, and enterprise transformation.",-,
News,Locale carry-over,zh and zh-tw page copy,-,Fresh from the field. / View all / News & Press Release,一线快讯。 / 查看全部 / 新闻与新闻稿,
Contact,Contact form,name,-,Full name,全名,
Contact,Contact form,email,-,Email address,电子邮件地址,
Contact,Contact form,company,-,Company,公司名称,
Contact,Contact form,message,-,What are you working on?,您在做什么？,
Contact,Contact form,submit,-,Send message,发送消息,
Contact,Contact form,submitting,-,Sending…,发送中…,
Contact,Contact form,successTitle,-,Message sent.,消息已发送。,
Contact,Contact form,successBody,-,We'll be in touch within one business day.,我们将在一个工作日内与您联系。,
Contact,Contact form,errorBody,-,Something went wrong. Please try again.,出现错误，请重试。,
Contact,Page implementation,Current visible structure,-,"The report should call out that the local contact page is currently email-only, even though form strings exist in locale files.",-,
About,CSV About rewrite,brandCore,-,AI Business Co-Creation.,AI 商业共创,
About,CSV About rewrite,brandIntent,-,Founded to Break the Deadlock.,为打破僵局而生,
About,CSV About rewrite,ourRole,-,AI Enabler of Enterprise Community,企业共同体的 AI 赋能者,
About,CSV About rewrite,ourVision,-,"Empowered by AI, Unlimited Global Possibilities",以 AI 打开全球无限可能,
About,CSV About rewrite,values,-,What drives us,什么驱动着我们,
Success Stories,Case study detail,Metrics labels,-,Customer Satisfaction / Content Efficiency / Operational Efficiency,客户满意度 / 内容效率 / 运营效率,
Success Stories,Case study detail,Challenge body,Source: components/success-stories/CaseStudyDetailPage.tsx → CHALLENGE_BODY (shared template on all detail pages),Not found,-,
Success Stories,Case study detail,Solution body,Source: components/success-stories/CaseStudyDetailPage.tsx → SOLUTION_BODY (shared template on all detail pages),Not found,-,
Success Stories,Case study detail,Results cards,Source: components/success-stories/CaseStudyDetailPage.tsx → RESULTS (shared template on all detail pages),Key Results card titles and bodies,-,
Success Stories,Case Study 7,All fields,No local Case Study 7 object is present in `lib/case-studies.ts`.,Macau AI Education case study,-,
Products,Product detail pages,Page structure,BasicRouter EN FAQ count: See lib/products.ts with 3 FAQs in EN product data.,FAQs / Who it's for / CTA blocks beyond CSV bullets,-,
Products,Multi-Cloud Computing Platform,Listing + detail,"Available product ids include: token, employees, content, education",Full product page if separate from solutions card,-,
Token selling page,BasicRouter marketing page,Long-form content,-,One API. Every leading AI model. Zero vendor lock-in.,一个 API，连接全球顶尖 AI 模型，彻底摆脱厂商绑定。,
Locale,zh-tw,Entire site,Local dev server responds on `/zh-tw`.,Traditional Chinese locale and routing,-,
Locale,zh-tw,Local route availability,-,The audit should distinguish between deployed 404 behavior and current local route availability.,-,
Implementation,Hero casing,titlePart1,-,Ai vs AI in Chinese hero,AI 赋能,
Implementation,zh.json script mix,about.values.title,-,Traditional chars in Simplified file,什么驱动着我们,
Implementation,Team title,Richard Liu job title,-,AI Large Model Specialist,首席技术顾问,
Implementation,zh.json script mix,about.values.title,-,Simplified Chinese file should use Simplified script for the values title.,什么驱动着我们,
